country,trade.balance,exports,imports,Region,trade.status
Cayman Islands,7.90E+08,814100000,24100000,Caribbean,Great
Central African Republic,30900000,32300000,1400000,Sub-Sharan Africa,Great
Chad,-2262100000,66500000,2328600000,Sub-Sharan Africa,Bad
Chile,7.04E+09,16514600000,9475600000,Americas,Good
China,-3.43E+11,1.24E+11,4.67E+11,East Asia,Bad
Christmas Island,-2100000,2.00E+05,2300000,na,Bad
Cocos (Keeling) Islands,2800000,6.00E+06,3200000,na,Good
Colombia,1806900000,20106600000,18299700000,Americas,Ok
Comoros,1400000,3500000,2100000,Sub-Sharan Africa,Good
Congo (Brazzaville),-102700000,321500000,424200000,Sub-Sharan Africa,Bad
Congo (Kinshasa),27400000,181800000,154400000,Sub-Sharan Africa,Good
Cook Islands,4700000,5500000,8.00E+05,na,Great
Costa Rica,-2535800000,6964100000,9499900000,Americas,Bad
Cote d'Ivoire,-953400000,239100000,1192500000,na,Bad
Croatia,-1.23E+08,339600000,462600000,Europe,Bad
Cuba,299100000,299100000,0,Caribbean,Good
Curacao,242600000,611800000,369200000,na,Good
Cyprus,87700000,151700000,6.40E+07,Europe,Great
Czech Republic,-2042400000,2302400000,4344800000,Europe,Bad
Denmark,-5.14E+09,2360700000,7503700000,Europe,Bad
Djibouti,99100000,110900000,11800000,Sub-Sharan Africa,Great
Dominica,62700000,64200000,1500000,Caribbean,Great
Dominican Republic,3402400000,7922100000,4519700000,Caribbean,Good
Ecuador,-2.69E+09,8164400000,10856400000,Americas,Bad
Egypt,5062400000,6472600000,1410200000,North Africa,Great
El Salvador,908700000,3304400000,2395700000,Americas,Good
Equatorial Guinea,319900000,574800000,254900000,Sub-Sharan Africa,Great
Eritrea,5200000,5300000,1.00E+05,Sub-Sharan Africa,Great
Estonia,-254100000,308500000,562600000,Europe,Bad
Ethiopia,1462200000,1.67E+09,206800000,Sub-Sharan Africa,Great
Falkland Islands (Islas Malvinas),-11900000,7800000,19700000,NA,Bad
Faroe Islands,-135700000,2400000,138100000,na,Bad
Fiji,-104200000,79500000,183700000,Oceania,Bad
Finland,-2865400000,2150200000,5015600000,Europe,Bad
France,-15573200000,31300800000,4.69E+10,Europe,Bad
French Guiana,280600000,2.81E+08,4.00E+05,na,Great
French Polynesia,89400000,129500000,40100000,na,Great
French Southern and Antarctic Lands,7800000,8300000,5.00E+05,NA,Great
Gabon,-380700000,417300000,7.98E+08,Sub-Sharan Africa,Bad
Gambia,41200000,41500000,3.00E+05,na,Great
Gaza Strip Administered by Israel,0,2.00E+05,2.00E+05,NA,Ok
Georgia,235500000,627500000,3.92E+08,Europe,Good
Germany,-73896300000,49363300000,1.23E+11,Europe,Bad
Ghana,914600000,1186200000,271600000,Sub-Sharan Africa,Great
Gibraltar,2530700000,2530900000,2.00E+05,na,Great
Greece,-274800000,773200000,1.05E+09,Europe,Bad
Greenland,7200000,12700000,5500000,na,Great
Grenada,74300000,8.40E+07,9700000,Caribbean,Great
Guadeloupe,423700000,426600000,2900000,na,Great
Guatemala,1.75E+09,5963700000,4216700000,Americas,Good
Guinea,-21100000,65200000,86300000,Sub-Sharan Africa,Bad
Guinea-Bissau,2800000,2900000,1.00E+05,Sub-Sharan Africa,Great
Guyana,-131300000,3.70E+08,501300000,Caribbean,Bad
Haiti,368600000,1276700000,908100000,Americas,Good
Heard and McDonald Islands,1200000,1200000,0,na,Good
Honduras,1317300000,5960600000,4643300000,Americas,Good
Hong Kong,34988900000,40857900000,5.87E+09,East Asia,Great
Hungary,-3440800000,1842800000,5283600000,na,Bad
Iceland,66100000,364500000,298400000,Europe,Good
India,-23636500000,21607500000,4.52E+10,South Asia,Bad
Indonesia,-11076800000,8284100000,19360900000,Southeast Asia,Bad
Iran,186500000,186500000,0,West Asia,Good
Iraq,-11721300000,2105700000,1.38E+10,West Asia,Bad
Ireland,-26149200000,7806400000,33955600000,Europe,Bad
Israel,-7879200000,1.51E+10,22962200000,West Asia,Bad
Italy,-2.51E+10,16968200000,42115200000,Europe,Bad
Jamaica,1896800000,2.18E+09,285200000,Caribbean,Great
Japan,-67176300000,66827400000,1.34E+11,East Asia,Bad
Jordan,649900000,2050400000,1400500000,West Asia,Good
Kazakhstan,-401800000,1.01E+09,1410800000,Central Asia,Bad
Kenya,1050200000,1640900000,590700000,Sub-Sharan Africa,Great
Kiribati,7.00E+05,3300000,2600000,Oceania,Good
"Korea, North",2.40E+07,2.40E+07,0,East Asia,Good
"Korea, South",-25047100000,44471300000,69518400000,East Asia,Bad
Kosovo,15700000,16300000,6.00E+05,Europe,Great
Kuwait,-7788400000,3648600000,1.14E+10,West Asia,Bad
Kyrgyzstan,69300000,71700000,2400000,Central Asia,Great
Laos,-4400000,28500000,32900000,Southeast Asia,Bad
Latvia,153700000,428200000,274500000,Europe,Good
Lebanon,1196300000,1268500000,72200000,West Asia,Great
Lesotho,-358600000,2400000,3.61E+08,Sub-Sharan Africa,Bad
Liberia,1.01E+08,184400000,83400000,Sub-Sharan Africa,Great
Libya,307100000,531900000,224800000,North Africa,Great
Liechtenstein,-261500000,31100000,292600000,Europe,Bad
Lithuania,-412800000,681100000,1093900000,Europe,Bad
Luxembourg,761400000,1516200000,754800000,Europe,Great
Macau,3.59E+08,433400000,74400000,na,Great
Macedonia,-133200000,33900000,167100000,na,Bad
Madagascar,-168900000,46800000,215700000,Sub-Sharan Africa,Bad
Malawi,-15900000,50700000,66600000,Sub-Sharan Africa,Bad
Malaysia,-1.74E+10,13068400000,30420400000,Southeast Asia,Bad
Maldives,5800000,2.90E+07,23200000,South Asia,Good
Mali,33700000,38500000,4800000,Sub-Sharan Africa,Great
Malta,744400000,917600000,173200000,Europe,Great
